game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_ToP,Winner
game_2023_94,TUC,ALB,1,3,2.52,2,13,15,0.53,ALB
game_2023_341,MOB,ALB,3,1,0.46,0.99,11,8,0.56,MOB
game_2023_442,CHM,ALB,0,1,1.62,1.16,16,13,0.52,ALB
game_2023_50,SAS,ALB,2,1,1.53,0.55,20,2,0.49,SAS
game_2023_389,FOR,ALB,0,2,2.15,1.13,18,13,0.71,ALB
game_2023_27,FAR,ALB,3,2,2.26,1.16,17,10,0.69,FAR
game_2023_187,PRO,ALB,4,1,2.59,2.23,21,16,0.52,PRO
game_2023_366,TAC,ALB,3,3,0.36,1.21,6,7,0.56,ALB
game_2023_258,REN,ALB,0,1,0.8,0.8,22,6,0.57,ALB
game_2023_470,BOI,ALB,0,3,1.37,0.97,15,21,0.48,ALB
game_2023_162,WIC,ALB,2,2,1.36,2.24,22,23,0.6,ALB
game_2023_241,OAK,ALB,2,2,1.6,1.43,12,19,0.47,ALB
game_2023_308,BAK,ALB,3,3,1.53,1.18,11,13,0.48,ALB
game_2023_204,SFS,ALB,2,0,1.52,0.53,12,10,0.54,SFS
game_2023_134,SPR,ALB,7,2,0.92,1.28,11,14,0.5,SPR
game_2023_120,ANC,ALB,3,2,3.27,1.48,28,13,0.52,ANC
game_2023_80,EUG,ALB,1,1,0.83,1.48,12,16,0.5,ALB
game_2023_289,REN,ANC,0,0,0.55,0.13,3,18,0.54,ANC
game_2023_313,SPR,ANC,3,2,1.6,0.67,19,7,0.49,SPR
game_2023_156,TAC,ANC,4,0,1.34,0.94,13,10,0.4,TAC
game_2023_349,EUG,ANC,2,5,1.56,1.09,12,9,0.42,ANC
game_2023_253,BOI,ANC,1,2,1.33,1.18,16,18,0.51,ANC
game_2023_75,SAS,ANC,1,2,2.49,0.82,25,11,0.35,ANC
game_2023_42,TUC,ANC,2,0,1.67,0.95,14,16,0.58,TUC
game_2023_87,BAK,ANC,2,2,2.59,1.09,19,19,0.51,ANC
game_2023_208,AUG,ANC,2,3,0.72,1.26,12,10,0.66,ANC
game_2023_464,FOR,ANC,0,2,2.14,1.31,11,10,0.58,ANC
game_2023_383,OAK,ANC,0,7,1.43,1.66,21,10,0.43,ANC
game_2023_398,SJU,ANC,0,0,0.46,0.56,7,2,0.53,ANC
game_2023_4,FAR,ANC,0,1,2.27,1.08,4,14,0.51,ANC
game_2023_370,DOV,ANC,5,0,2.31,0.3,17,6,0.59,DOV
game_2023_217,ALB,ANC,3,5,0.41,1.9,9,17,0.53,ANC
game_2023_129,WIC,ANC,0,4,0.71,1.49,10,14,0.59,ANC
game_2023_431,SFS,ANC,2,1,2.31,0.81,5,13,0.52,SFS
game_2023_339,PRO,AUG,1,3,2.28,1.58,17,16,0.43,AUG
game_2023_230,LEX,AUG,1,1,1.48,0.92,10,14,0.45,AUG
game_2023_327,CHM,AUG,0,1,1.28,1.3,14,9,0.43,AUG
game_2023_21,EUG,AUG,2,1,1.16,1.44,10,11,0.53,EUG
game_2023_11,SFS,AUG,1,1,1.34,1.2,6,11,0.54,AUG
game_2023_67,MOB,AUG,2,2,1.43,0.36,8,9,0.43,AUG
game_2023_401,LAR,AUG,0,3,0.84,1.38,14,15,0.36,AUG
game_2023_469,LRO,AUG,1,2,1.64,0.86,7,12,0.55,AUG
game_2023_364,MAN,AUG,0,2,1.9,0.88,15,8,0.58,AUG
game_2023_380,TOL,AUG,0,0,0.34,1.13,2,15,0.5,AUG
game_2023_264,SAS,AUG,1,1,1.33,1.14,12,10,0.5,AUG
game_2023_161,SJU,AUG,2,3,1.25,0.75,6,8,0.45,AUG
game_2023_283,SPR,AUG,4,1,0.73,0.99,16,13,0.35,SPR
game_2023_223,DOV,AUG,4,0,3.64,0.55,22,9,0.42,DOV
game_2023_185,BAK,AUG,0,1,1.37,0.81,16,12,0.46,AUG
game_2023_307,JAC,AUG,2,1,2.21,1.1,16,8,0.53,JAC
game_2023_414,DES,AUG,2,3,2.17,2.05,15,19,0.47,AUG
game_2023_170,SAS,BAK,1,0,1.04,0.22,15,10,0.67,SAS
game_2023_325,ANC,BAK,1,0,2.32,0.12,15,5,0.55,ANC
game_2023_84,FOR,BAK,2,1,2.11,1.03,14,11,0.57,FOR
game_2023_293,TUC,BAK,1,1,1.12,1.37,13,15,0.72,BAK
game_2023_41,SPR,BAK,3,3,0.9,1.18,11,8,0.48,BAK
game_2023_122,FAR,BAK,2,2,2.63,1.37,25,3,0.54,BAK
game_2023_5,DOV,BAK,0,0,1.9,0.56,17,6,0.53,BAK
game_2023_228,SFS,BAK,3,3,2.94,2.15,20,19,0.53,BAK
game_2023_433,TAC,BAK,4,2,2.26,0.81,14,20,0.57,TAC
game_2023_345,OAK,BAK,0,1,1.05,0.98,12,14,0.62,BAK
game_2023_219,PRO,BAK,2,2,1.61,0.73,19,12,0.55,BAK
game_2023_412,ALB,BAK,1,0,0.67,0.77,16,17,0.52,ALB
game_2023_210,LAR,BAK,2,0,1.52,0.43,18,2,0.54,LAR
game_2023_388,BOI,BAK,3,0,1.02,0.75,13,2,0.52,BOI
game_2023_451,WIC,BAK,1,2,1.79,0.93,16,8,0.55,BAK
game_2023_152,REN,BAK,2,4,2.19,0.84,20,11,0.58,BAK
game_2023_250,EUG,BAK,0,2,0.86,1.42,18,10,0.48,BAK
game_2023_402,FAR,BOI,2,0,2.55,0.57,19,7,0.55,FAR
game_2023_192,EUG,BOI,4,3,1.16,1.64,19,15,0.41,EUG
game_2023_454,SFS,BOI,1,1,1.47,0.83,25,12,0.63,BOI
game_2023_35,LAR,BOI,3,0,2.03,0.5,14,7,0.5,LAR
game_2023_174,JAC,BOI,0,2,0.52,1.18,17,10,0.56,BOI
game_2023_12,TUC,BOI,1,5,1.06,2.09,17,14,0.53,BOI
game_2023_375,SAS,BOI,3,3,2.42,1.32,11,17,0.53,BOI
game_2023_267,LRO,BOI,1,2,1.4,0.99,18,9,0.53,BOI
game_2023_96,AUG,BOI,2,1,1.77,0.67,16,6,0.56,AUG
game_2023_309,WIC,BOI,3,3,1.54,1.18,17,19,0.62,BOI
game_2023_105,ALB,BOI,1,1,1.64,1.95,15,14,0.53,BOI
game_2023_138,OAK,BOI,2,3,0.72,1.39,4,18,0.54,BOI
game_2023_69,ANC,BOI,1,1,1.74,1.25,4,13,0.63,BOI
game_2023_243,BAK,BOI,1,0,1.83,0.24,28,7,0.46,BAK
game_2023_346,REN,BOI,1,1,0.51,1.5,9,16,0.69,BOI
game_2023_57,TAC,BOI,0,2,1.57,1.01,17,15,0.61,BOI
game_2023_427,FOR,BOI,6,3,2.82,0.82,11,5,0.45,FOR
game_2023_215,BOI,CHM,1,1,0.34,0.35,13,4,0.53,CHM
game_2023_421,PRO,CHM,0,1,0.94,0.97,16,16,0.42,CHM
game_2023_252,MAN,CHM,0,2,1.17,1.67,11,13,0.44,CHM
game_2023_128,LAR,CHM,3,3,3.65,0.93,29,7,0.64,CHM
game_2023_225,MOB,CHM,1,1,0.32,0.6,11,10,0.63,CHM
game_2023_74,DOV,CHM,2,2,1.97,0.78,27,3,0.31,CHM
game_2023_99,TAC,CHM,0,2,1.57,1.45,17,9,0.53,CHM
game_2023_335,ANC,CHM,1,0,2.38,0.37,16,3,0.42,ANC
game_2023_462,TOL,CHM,0,3,1.67,1.6,27,16,0.46,CHM
game_2023_369,LEX,CHM,2,1,1.55,0.83,8,11,0.35,LEX
game_2023_459,DES,CHM,2,3,0.87,0.55,6,16,0.52,CHM
game_2023_180,LRO,CHM,1,1,2.25,0.92,17,14,0.69,CHM
game_2023_15,WIC,CHM,1,1,1.29,0.91,16,11,0.46,CHM
game_2023_263,SJU,CHM,2,1,1.51,1.34,12,19,0.51,SJU
game_2023_142,AUG,CHM,1,1,1.91,0.29,15,3,0.53,CHM
game_2023_53,SPR,CHM,2,1,0.83,0.69,12,15,0.44,SPR
game_2023_406,JAC,CHM,3,1,2.93,1.24,20,13,0.56,JAC
game_2023_336,FAR,DES,1,4,2.13,2.63,15,18,0.52,DES
game_2023_191,REN,DES,0,2,1.03,0.52,20,10,0.57,DES
game_2023_463,SPR,DES,1,1,1.15,0.41,13,13,0.28,DES
game_2023_348,AUG,DES,0,3,0.78,2.3,22,15,0.64,DES
game_2023_61,DOV,DES,1,2,2.21,0.32,19,4,0.42,DES
game_2023_288,MOB,DES,1,1,1.05,1.76,10,9,0.48,DES
game_2023_274,PRO,DES,1,1,0.2,1.04,6,14,0.59,DES
game_2023_115,TOL,DES,2,1,1.43,0.54,19,13,0.42,TOL
game_2023_239,TUC,DES,1,0,1.81,0.68,17,9,0.59,TUC
game_2023_100,ANC,DES,2,1,2.71,0.66,26,13,0.53,ANC
game_2023_394,LEX,DES,4,5,0.27,1.85,11,13,0.37,DES
game_2023_430,MAN,DES,0,1,1.5,0.21,1,4,0.41,DES
game_2023_86,LAR,DES,2,0,1.36,0.6,17,10,0.4,LAR
game_2023_3,SJU,DES,1,2,1.23,1.11,16,9,0.47,DES
game_2023_200,CHM,DES,0,1,0.95,1.95,13,17,0.52,DES
game_2023_40,LRO,DES,1,1,1.67,0.55,14,9,0.6,DES
game_2023_216,JAC,DES,2,2,2.42,0.83,22,13,0.49,DES
game_2023_240,CHM,DOV,0,1,1.15,1.45,15,8,0.53,DOV
game_2023_93,MOB,DOV,2,3,1.97,0.62,6,14,0.54,DOV
game_2023_231,MAN,DOV,7,1,1.82,1.28,16,15,0.56,MAN
game_2023_266,PRO,DOV,4,1,1.26,0.16,13,18,0.57,PRO
game_2023_359,SJU,DOV,0,2,0.28,1.28,8,7,0.5,DOV
game_2023_396,SPR,DOV,2,1,1.38,1.26,11,16,0.55,SPR
game_2023_123,OAK,DOV,1,1,0.98,1.48,16,19,0.6,DOV
game_2023_186,LAR,DOV,1,2,1.13,1.36,15,13,0.6,DOV
game_2023_49,AUG,DOV,3,3,0.84,0.82,10,18,0.73,DOV
game_2023_351,SAS,DOV,1,2,1.91,0.98,20,4,0.47,DOV
game_2023_297,TOL,DOV,1,2,0.49,1.08,10,16,0.63,DOV
game_2023_436,LRO,DOV,2,1,1.81,0.88,17,14,0.53,LRO
game_2023_172,ALB,DOV,2,2,1.55,0.23,19,11,0.65,DOV
game_2023_23,JAC,DOV,2,3,1.01,2.42,7,17,0.65,DOV
game_2023_328,LEX,DOV,2,0,0.95,0.97,8,18,0.49,LEX
game_2023_452,DES,DOV,5,2,2.13,0.78,7,10,0.52,DES
game_2023_133,FAR,DOV,2,2,2.04,1.83,21,11,0.66,DOV
game_2023_107,FOR,EUG,1,7,1.38,1.51,16,13,0.67,EUG
game_2023_8,CHM,EUG,0,0,1.54,1.18,11,3,0.57,EUG
game_2023_419,ANC,EUG,0,0,1.97,0.67,19,14,0.47,EUG
game_2023_311,OAK,EUG,3,0,2.12,0.22,13,2,0.5,OAK
game_2023_189,TAC,EUG,1,3,0.69,2.36,15,17,0.59,EUG
game_2023_95,JAC,EUG,2,1,2.6,0.5,16,8,0.54,JAC
game_2023_207,SAS,EUG,0,2,1.23,1.2,12,9,0.66,EUG
game_2023_474,BAK,EUG,3,2,2.68,1.43,17,18,0.49,BAK
game_2023_404,WIC,EUG,5,1,1.68,0.69,15,4,0.48,WIC
game_2023_39,TUC,EUG,3,1,2.18,0.51,14,10,0.58,TUC
game_2023_196,REN,EUG,3,3,2.49,0.41,20,11,0.56,EUG
game_2023_361,BOI,EUG,0,1,1.9,0.82,22,7,0.53,EUG
game_2023_344,SFS,EUG,2,0,1.38,0.19,19,7,0.62,SFS
game_2023_55,FAR,EUG,1,0,1.24,0.84,14,11,0.62,FAR
game_2023_177,DES,EUG,2,2,1.7,0.24,14,8,0.63,EUG
game_2023_272,LEX,EUG,2,1,2.34,1.31,13,17,0.61,LEX
game_2023_286,ALB,EUG,0,1,1.04,0.75,11,11,0.65,EUG
game_2023_145,ANC,FAR,1,1,1.18,1.27,9,16,0.39,FAR
game_2023_410,SAS,FAR,1,0,1.61,1.08,13,11,0.67,SAS
game_2023_282,OAK,FAR,1,2,0.23,1.02,13,10,0.5,FAR
game_2023_291,TAC,FAR,1,3,1.44,0.86,10,17,0.6,FAR
game_2023_357,WIC,FAR,0,3,1.18,1.47,23,13,0.54,FAR
game_2023_323,BOI,FAR,0,3,1.53,1.87,10,11,0.57,FAR
game_2023_423,BAK,FAR,1,2,0.25,1.59,17,8,0.46,FAR
game_2023_32,PRO,FAR,3,1,1.61,1.16,16,19,0.47,PRO
game_2023_386,TUC,FAR,2,3,1.61,1.36,3,14,0.45,FAR
game_2023_234,EUG,FAR,0,2,1.02,0.88,9,11,0.43,FAR
game_2023_367,FOR,FAR,3,1,1.96,1.19,21,9,0.48,FOR
game_2023_456,ALB,FAR,1,2,1.38,0.88,16,6,0.53,FAR
game_2023_76,SFS,FAR,0,5,0.9,1.2,9,9,0.43,FAR
game_2023_165,CHM,FAR,2,1,1.59,1.55,16,14,0.64,CHM
game_2023_203,REN,FAR,3,1,2.54,0.36,21,3,0.52,REN
game_2023_109,LEX,FAR,1,0,1.02,0.24,20,10,0.45,LEX
game_2023_64,TOL,FAR,2,3,1.24,1.52,16,14,0.61,FAR
game_2023_60,WIC,FOR,1,1,1.42,2.16,10,8,0.64,FOR
game_2023_28,ALB,FOR,2,2,1.04,1.25,15,12,0.39,FOR
game_2023_233,DES,FOR,2,4,1.57,1.79,15,5,0.63,FOR
game_2023_392,OAK,FOR,4,3,2.48,1.75,14,12,0.41,OAK
game_2023_354,BAK,FOR,1,0,1.7,0.48,22,2,0.37,BAK
game_2023_447,EUG,FOR,0,1,1.07,1.34,18,15,0.32,FOR
game_2023_273,SAS,FOR,2,0,2.22,0.36,18,10,0.49,SAS
game_2023_303,TAC,FOR,1,2,1.67,0.63,17,17,0.42,FOR
game_2023_251,LRO,FOR,1,0,1.82,0.68,13,8,0.62,LRO
game_2023_190,SFS,FOR,2,1,3.22,0.62,16,9,0.44,SFS
game_2023_154,FAR,FOR,2,0,2.09,0.14,19,2,0.58,FAR
game_2023_113,TUC,FOR,3,1,2.8,1.36,21,9,0.4,TUC
game_2023_85,SJU,FOR,2,3,2.61,1.69,19,13,0.42,FOR
game_2023_244,ANC,FOR,2,2,2.46,1.27,17,8,0.45,FOR
game_2023_140,BOI,FOR,1,1,1.51,0.36,19,10,0.45,FOR
game_2023_198,JAC,FOR,3,2,2.13,1.55,24,10,0.63,JAC
game_2023_407,REN,FOR,2,1,2.72,0.76,13,12,0.53,REN
game_2023_33,AUG,JAC,0,2,1.63,1.16,9,8,0.51,JAC
game_2023_45,LRO,JAC,0,1,0.95,1.89,11,11,0.54,JAC
game_2023_317,CHM,JAC,0,0,0.36,0.63,18,14,0.44,JAC
game_2023_338,TUC,JAC,2,2,0.88,1.3,18,20,0.51,JAC
game_2023_434,LAR,JAC,1,3,1.95,0.63,19,8,0.4,JAC
game_2023_102,DOV,JAC,2,0,1.34,0.41,14,8,0.46,DOV
game_2023_77,SPR,JAC,1,1,1.23,0.5,6,11,0.5,JAC
game_2023_400,MOB,JAC,0,0,1.54,0.87,15,11,0.43,JAC
game_2023_146,DES,JAC,0,2,0.21,0.92,8,3,0.55,JAC
game_2023_466,PRO,JAC,0,4,1.05,1.11,13,12,0.39,JAC
game_2023_9,TOL,JAC,1,2,1.2,1.2,17,20,0.49,JAC
game_2023_65,LEX,JAC,1,2,1.88,2.04,23,16,0.42,JAC
game_2023_229,REN,JAC,1,3,1.39,1.41,21,9,0.52,JAC
game_2023_294,SJU,JAC,0,0,0.96,0.81,13,17,0.43,JAC
game_2023_247,SFS,JAC,1,2,0.95,1.7,6,12,0.38,JAC
game_2023_160,OAK,JAC,2,2,1.76,0.96,19,11,0.44,JAC
game_2023_373,MAN,JAC,3,0,2.81,0.63,20,13,0.58,MAN
game_2023_350,MOB,LAR,0,1,1.07,0.84,11,3,0.66,LAR
game_2023_46,DES,LAR,1,2,0.58,1.33,14,17,0.49,LAR
game_2023_467,MAN,LAR,0,1,1.42,0.94,13,7,0.55,LAR
game_2023_358,JAC,LAR,1,1,0.29,0.49,5,4,0.53,LAR
game_2023_6,ALB,LAR,1,1,0.62,0.78,11,17,0.54,LAR
game_2023_277,DOV,LAR,0,1,1.03,0.72,17,3,0.44,LAR
game_2023_326,TOL,LAR,3,2,2.09,1.51,11,12,0.53,TOL
game_2023_222,EUG,LAR,2,2,1.93,0.72,28,6,0.53,LAR
game_2023_413,SPR,LAR,2,5,1.76,0.93,20,8,0.58,LAR
game_2023_78,PRO,LAR,5,1,0.72,1.61,16,11,0.37,PRO
game_2023_424,TUC,LAR,0,3,2.02,0.78,25,6,0.43,LAR
game_2023_195,TAC,LAR,2,3,1.14,0.67,12,10,0.4,LAR
game_2023_295,CHM,LAR,0,1,1.47,1.2,15,11,0.53,LAR
game_2023_103,SJU,LAR,2,3,1.61,1.09,14,9,0.32,LAR
game_2023_153,LRO,LAR,1,2,1.03,1.66,7,12,0.57,LAR
game_2023_166,LEX,LAR,7,0,2.47,0.18,20,10,0.52,LEX
game_2023_256,AUG,LAR,4,2,0.9,1.2,6,8,0.59,AUG
game_2023_475,LRO,LEX,1,2,2.1,1.3,17,6,0.51,LEX
game_2023_444,REN,LEX,1,2,1.52,1.33,10,6,0.53,LEX
game_2023_304,PRO,LEX,1,1,1.07,0.99,12,15,0.54,LEX
game_2023_56,DES,LEX,2,1,1.48,1.05,15,5,0.58,DES
game_2023_280,CHM,LEX,2,1,2.08,1.38,19,19,0.58,CHM
game_2023_199,DOV,LEX,5,2,2.61,1.12,24,9,0.45,DOV
game_2023_461,SJU,LEX,3,1,3.01,1.24,18,16,0.57,SJU
game_2023_179,JAC,LEX,0,3,1.78,1.3,21,10,0.51,LEX
game_2023_429,BOI,LEX,0,1,3.01,0.27,22,14,0.59,LEX
game_2023_127,BAK,LEX,0,2,1.01,1.08,24,15,0.53,LEX
game_2023_30,TOL,LEX,1,1,2.18,1.27,22,9,0.69,LEX
game_2023_355,SPR,LEX,3,0,1.73,0.39,18,13,0.52,SPR
game_2023_238,LAR,LEX,0,3,1.63,1.1,15,16,0.55,LEX
game_2023_405,AUG,LEX,3,1,4.03,0.87,25,10,0.65,AUG
game_2023_2,FOR,LEX,1,0,0.98,0.9,9,11,0.57,FOR
game_2023_114,MOB,LEX,1,1,2.18,0.92,16,8,0.65,LEX
